RegionName,City,CountyName,condosPPSQFT,SFR rent
22191,Woodbridge,Prince William,1.222,1802
22193,Woodbridge,Prince William,1.25,1926
22304,Alexandria,Alexandria City,1.602,2703
20147,Ashburn,Loudoun,1.156,2794
22204,Arlington,Arlington,1.99,2915
22407,Fredericksburg,Spotsylvania,0.95,1607
22201,Arlington,Arlington,2.484,3828
22192,Woodbridge,Prince William,1.25,2379
22030,Fairfax,Fairfax,1.414,2721
22003,Annandale,Fairfax,1.63,2759
22554,Stafford,Stafford,0.814,2035
22314,Alexandria,Alexandria City,2.272,3269
20171,Herndon,Fairfax,1.298,2910
20148,Ashburn,Loudoun,1.004,3024
20176,Leesburg,Loudoun,1.102,2775
22202,Arlington,Arlington,2.022,3420
22033,Fairfax,Fairfax,1.378,2755
20110,Manassas,Prince William,1.194,2144
22015,Burke,Fairfax,1.492,2903
20120,Centreville,Fairfax,1.328,2683
20109,Manassas,Prince William,1.27,1983
22031,Fairfax,Fairfax,1.574,3038
20170,Herndon,Fairfax,1.306,2522
22102,Mc Lean,Fairfax,1.766,5251
22701,Culpeper,Culpeper,0.858,1487
22630,Front Royal,Warren,0.988,1264
22203,Arlington,Arlington,2.268,3176
22306,Hybla Valley,Fairfax,1.592,2515
22042,Falls Church,Fairfax,1.782,2467
20164,Sterling,Loudoun,1.4,2185
22207,Arlington,Arlington,1.994,3698
20165,Sterling,Loudoun,1.21,2768
20155,Gainesville,Prince William,1.01,2517
22312,Lincolnia,Fairfax,1.574,2520
20111,Manassas Park,Manassas Park City,1.186,2016
22309,Mount Vernon,Fairfax,1.504,2619
22079,Lorton,Fairfax,1.366,2903
20191,Reston,Fairfax,1.518,2854
22101,Mc Lean,Fairfax,1.852,4112
22315,Franconia,Fairfax,1.574,2837
22206,Arlington,Arlington,2.286,2563
22310,Franconia,Fairfax,1.636,2515
22401,Fredericksburg,Spotsylvania,0.892,1609
22405,Fredericksburg,Spotsylvania,0.882,1663
20175,Leesburg,Loudoun,1.148,2754
22041,Falls Church,Fairfax,1.62,2876
22153,Springfield,Fairfax,1.454,2748
22408,Fredericksburg,Spotsylvania,0.918,1603
20152,Chantilly,Loudoun,1.058,2876
22152,Springfield,Fairfax,1.528,2633
20121,Centreville,Fairfax,1.384,2704
22180,Vienna,Fairfax,1.81,2954
22032,Fairfax,Fairfax,1.526,2746
22150,Springfield,Fairfax,1.586,2308
22182,Vienna,Fairfax,1.466,3516
22043,Falls Church,Fairfax,1.778,2929
20190,Reston,Fairfax,1.65,2866
22556,Stafford,Stafford,0.888,1949
22302,Alexandria,Alexandria City,2.002,3382
20136,Bristow,Prince William,0.996,2528
22406,Fredericksburg,Spotsylvania,0.798,2022
22311,Alexandria,Alexandria City,1.622,2752
22209,Arlington,Arlington,2.636,2989
20112,Manassas,Prince William,1.03,2457
20169,Haymarket,Prince William,1.008,2834
20105,Aldie,Loudoun,1.044,2820
22303,Huntington,Fairfax,1.71,2265
22305,Alexandria,Alexandria City,2.076,3017
22551,Spotsylvania,Spotsylvania,0.968,1396
22046,Falls Church,Fairfax,1.936,3164
22124,Oakton,Fairfax,1.396,3482
22205,Arlington,Arlington,2.03,3193
20151,Chantilly,Loudoun,1.282,2735
22301,Alexandria,Alexandria City,2.172,3188
22025,Dumfries,Prince William,1.124,2241
22066,Great Falls,Fairfax,1.352,4265
22039,Lorton,Fairfax,1.108,3220
20187,Warrenton,Fauquier,0.934,2049
22026,Dumfries,Prince William,1.122,2099
22151,Springfield,Fairfax,1.652,2452
22553,Spotsylvania,Spotsylvania,0.894,1218
20186,Warrenton,Fauquier,0.992,1785
20194,Reston,Fairfax,1.466,3304
22044,Falls Church,Fairfax,1.818,2999
20132,Purcellville,Loudoun,1.02,2506
22181,Vienna,Fairfax,1.562,3290
20124,Clifton,Fairfax,1.126,2968
22308,Fort Hunt,Fairfax,1.75,2955
22307,Belle Haven,Fairfax,1.932,3066
20166,Sterling,Loudoun,1.318,2471
22172,Triangle,Prince William,0.982,2199
22611,Berryville,Clarke,0.92,1727
22712,Bealeton,Fauquier,1.036,1574
20181,Nokesville,Prince William,1.064,2249
20180,Lovettsville,Loudoun,1.024,2255
20141,Round Hill,Loudoun,0.994,2323
20115,Marshall,Fauquier,1.004,1829
20106,Amissville,Rappahannock,0.882,1650
22642,Linden,Warren,1.098,1300
20119,Catlett,Fauquier,0.96,1696
22213,Arlington,Arlington,2.102,3104
20158,Hamilton,Loudoun,1.052,2461
22737,Rixeyville,Culpeper,0.972,1520
20135,Bluemont,Clarke,1.12,1879
22734,Remington,Fauquier,0.948,1407
22728,Midland,Fauquier,0.996,1613
22534,Partlow,Spotsylvania,0.87,1295
22620,Boyce,Clarke,0.938,1709
20198,The Plains,Fauquier,1.102,1948
22610,Bentonville,Warren,1.032,1452
20117,Middleburg,Loudoun,1.306,2528
22724,Jeffersonton,Culpeper,0.69,1717
22027,Dunn Loring,Fairfax,1.39,3965
22735,Reva,Culpeper,1.012,1402
20197,Waterford,Loudoun,0.958,3036
20137,Broad Run,Prince William,1.018,2231
22740,Sperryville,Rappahannock,0.962,1474
22747,Washington,Rappahannock,1.01,1559
22742,Sumerduck,Fauquier,1.05,1521
22713,Boston,Culpeper,0.92,1670
22733,Rapidan,Culpeper,0.932,1362
